dataset_id,name,source_url,source_terms,role,redistribution_boundary
osm_road,OpenStreetMap road snapshots,https://www.openstreetmap.org/copyright,ODbL-1.0,71 reference and 21 external cities,"Derived scalar summaries and attributed produced artwork only; no raw extract or edge-coordinate table"
osm_rail,OpenStreetMap frozen rail snapshots,https://www.openstreetmap.org/copyright,ODbL-1.0,Six rail networks,"Derived whole-graph crossing summaries; no raw geometry"
power_cases,pandapower packaged power-system cases,https://pandapower.readthedocs.io/en/latest/networks/power_system_test_cases.html,"Software and individual case source terms are distinct",Ten cases in six source families,"Original case JSON and source graphs excluded; package source identities retained"
water_packaged,WNTR packaged network benchmarks,https://github.com/USEPA/WNTR,"WNTR software license does not establish every model's redistribution rights",Net3 Net6 ky4 ky10,"Original EPANET files excluded; abstract planarity is not geographic verification"
modena,Modena design benchmark,https://uknowledge.uky.edu/wdst_international/5/,CC-BY-NC-4.0,Additional design benchmark,"Original INP excluded; do not apply MIT or unrestricted CC BY to third-party source data"
ctown,BATADAL C-Town,https://www.batadal.net/data.html,"CC-BY-4.0 displayed on source data page; no broader per-file license inferred",Additional competition benchmark,"Original INP excluded"
ltown,BattLeDIM nominal L-Town,https://zenodo.org/records/4017659,CC-BY-4.0,Additional hypothetical real-system-based benchmark,"Original INP and SCADA files excluded; nominal and Real models are not independent utilities"
rts,RTS-GMLC,https://github.com/GridMod/RTS-GMLC,"Consult upstream source terms; raw files not redistributed",Synthetic system with assigned geography,"Only derived scalar sensitivity included; not an operating grid census"
scigrid,SciGRID German model distributed with PyPSA,https://data.pypsa.org/networks/examples/latest/scigrid_de.nc,"Consult SciGRID and PyPSA upstream terms; raw file excluded",Mapped transmission model,"One projected endpoint chord per simple edge; no utility operating data or power-flow validation"
wdi,World Bank GDP per capita constant 2015 USD,https://data.worldbank.org/indicator/NY.GDP.PCAP.KD,"World Bank data terms; no relicense of upstream source",Country-level covariate for exploratory associations,"Only derived log covariate retained; countries shared across cities are not independent samples"
