city,country,query,macro_region,latitude,longitude,window_radius_m,graph_cache_file,n_nodes,n_edges,mean_degree,pc_cebh,pc_rank,pc_rank_ci_low,pc_rank_ci_high,road_gap,lcc_fraction_p1,edge_length_mean_m,edge_length_median_m,orientation_entropy,orientation_dominance,p_grid_min,p_grid_max,p_grid_step,n_perm,n_bootstrap,threshold_boundary_hit,extraction_seconds,analysis_seconds,status,notes
Lisbon,Portugal,"Lisbon, Portugal",Europe,38.7077507,-9.1365919,10000,cache\R61_osmnx_city_windows\lisbon_portugal__drive_10000m.pkl,26686,36745,2.7538784381323542,0.4955161486076462,0.75,0.7,0.75,0.2544838513923538,1.0,79.29022616210268,50.09774214527755,0.9973324314912949,0.06719281534902707,0.1,0.9,0.025,6,80,False,38.00325965881348,2.242203950881958,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Vienna,Austria,"Vienna, Austria",Europe,48.2083537,16.3725042,10000,cache\R61_osmnx_city_windows\vienna_austria__drive_10000m.pkl,17629,26142,2.9657949968801405,0.4456985030858935,0.675,0.65,0.675,0.22930149691410656,1.0,119.80240321655573,88.10546789211148,0.9848721534002749,0.090008415576467,0.1,0.9,0.025,6,80,False,31.880348682403564,1.8260421752929688,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Athens,Greece,"Athens, Greece",Europe,37.9755648,23.7348324,10000,cache\R61_osmnx_city_windows\athens_greece__drive_10000m.pkl,54827,88593,3.2317288926988526,0.4135569642707098,0.625,0.625,0.625,0.21144303572929019,1.0,67.85988453150071,56.29754758936505,0.9829915317457362,0.0859887350016367,0.1,0.9,0.025,6,80,False,110.65137124061584,4.169483423233032,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Istanbul,Turkey,"Istanbul, Turkey",Middle East,41.006381,28.9758715,10000,cache\R61_osmnx_city_windows\istanbul_turkey__drive_10000m.pkl,48682,72909,2.995316544102543,0.4613033850047454,0.675,0.675,0.675,0.21369661499525466,1.0,69.90566963895232,48.875560166248064,0.999129827160926,0.0666721529577967,0.1,0.9,0.025,6,80,False,47.38011074066162,4.240585803985596,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Dubai,United Arab Emirates,"Dubai, United Arab Emirates",Middle East,25.0742823,55.1885387,10000,cache\R61_osmnx_city_windows\dubai_united_arab_emirates__drive_10000m.pkl,15724,22720,2.889849910964131,0.49086116752365716,0.725,0.675,0.75,0.23413883247634282,1.0,116.28422889652606,48.658611014484585,0.970867041371218,0.11588908450704226,0.1,0.9,0.025,6,80,False,26.303001403808594,1.1203067302703857,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Cairo,Egypt,"Cairo, Egypt",Africa,30.0443879,31.2357257,10000,cache\R61_osmnx_city_windows\cairo_egypt__drive_10000m.pkl,118235,163341,2.762988962659111,0.4905812814983452,0.7,0.675,0.7,0.20941871850165478,1.0,55.34096892687885,32.45775541666822,0.9653518722228152,0.09563428655389646,0.1,0.9,0.025,6,80,False,64.14581894874573,7.63109278678894,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Nairobi,Kenya,"Nairobi, Kenya",Africa,-1.2890006,36.8172812,10000,cache\R61_osmnx_city_windows\nairobi_kenya__drive_10000m.pkl,22960,28157,2.4527003484320558,0.5433092136999518,0.825,0.725,0.85,0.2816907863000482,1.0,105.12258446755726,68.10121936271663,0.9965259265559292,0.06651987072486415,0.1,0.9,0.025,6,80,False,35.44894862174988,2.381938934326172,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Accra,Ghana,"Accra, Ghana",Africa,5.5571096,-0.2012376,10000,cache\R61_osmnx_city_windows\accra_ghana__drive_10000m.pkl,19183,25655,2.6747641140593235,0.5030786728370853,0.725,0.725,0.725,0.22192132716291468,1.0,111.42664044478772,81.61373801407125,0.9896426722767345,0.08571428571428572,0.1,0.9,0.025,6,80,False,25.63844919204712,1.6257705688476562,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Johannesburg,South Africa,"Johannesburg, South Africa",Africa,-26.205,28.049722,10000,cache\R61_osmnx_city_windows\johannesburg_south_africa__drive_10000m.pkl,22312,32632,2.9250627465041235,0.45425059509723403,0.65,0.65,0.65,0.195749404902766,1.0,119.43108115162255,80.64576635640923,0.9805910999329077,0.10293576857072811,0.1,0.9,0.025,6,80,False,28.75877022743225,2.0241572856903076,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Casablanca,Morocco,"Casablanca, Morocco",Africa,33.5945144,-7.6200284,10000,cache\R61_osmnx_city_windows\casablanca_morocco__drive_10000m.pkl,36942,55764,3.019002761084944,0.4598827284198025,0.675,0.65,0.675,0.21511727158019756,1.0,67.88167154323241,46.764215340537675,0.944477402514563,0.14599024460225235,0.1,0.9,0.025,6,80,False,38.730148792266846,3.047292947769165,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Mexico City,Mexico,"Mexico City, Mexico",Latin America,19.4326296,-99.1331785,10000,cache\R61_osmnx_city_windows\mexico_city_mexico__drive_10000m.pkl,59012,90635,3.0717481190266387,0.4265999557561695,0.625,0.6,0.625,0.1984000442438305,1.0,86.32371616844557,61.15384249740738,0.9126168741449047,0.12956363435758814,0.1,0.9,0.025,6,80,False,53.21546673774719,4.3267822265625,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Bogota,Colombia,"Bogota, Colombia",Latin America,4.6533817,-74.0836331,10000,cache\R61_osmnx_city_windows\bogota_colombia__drive_10000m.pkl,40772,60476,2.9665456685960954,0.44939511934131926,0.65,0.65,0.675,0.20060488065868076,1.0,80.37363185845871,60.849247942083466,0.9679684786572128,0.09760896884714597,0.1,0.9,0.025,6,80,False,46.60062551498413,3.5416271686553955,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Lima,Peru,"Lima, Peru",Latin America,-12.0459808,-77.0305912,10000,cache\R61_osmnx_city_windows\lima_peru__drive_10000m.pkl,49410,75796,3.0680429062942722,0.44283452421988645,0.65,0.65,0.675,0.20716547578011357,1.0,79.62894077109799,58.25183281055084,0.9839486130506139,0.09918729220539342,0.1,0.9,0.025,6,80,False,47.52208924293518,4.053700685501099,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Santiago,Chile,"Santiago, Chile",Latin America,-33.4376995,-70.6510671,10000,cache\R61_osmnx_city_windows\santiago_chile__drive_10000m.pkl,60718,88302,2.9085938272011593,0.45434057792047416,0.65,0.625,0.65,0.19565942207952586,1.0,75.5723288811267,53.2988980129349,0.9423637772679254,0.10398405472129736,0.1,0.9,0.025,6,80,False,71.4404366016388,5.778673887252808,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Sao Paulo,Brazil,"Sao Paulo, Brazil",Latin America,-23.5506507,-46.6333824,10000,cache\R61_osmnx_city_windows\sao_paulo_brazil__drive_10000m.pkl,51289,77333,3.0155783891282733,0.4525467568643056,0.675,0.65,0.675,0.22245324313569442,1.0,89.44967550090665,71.37930469510347,0.9988575536175797,0.06612959538618701,0.1,0.9,0.025,6,80,False,64.13762378692627,5.347439765930176,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Tokyo,Japan,"Tokyo, Japan",Asia,35.6768601,139.7638947,10000,cache\R61_osmnx_city_windows\tokyo_japan__drive_10000m.pkl,62113,98086,3.158308244650878,0.4276266169078313,0.625,0.625,0.625,0.19737338309216867,1.0,74.21971210268875,58.70195218750155,0.9825769867269989,0.08979874803743654,0.1,0.9,0.025,6,80,False,221.92771553993225,6.447691202163696,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Seoul,South Korea,"Seoul, South Korea",Asia,37.5666791,126.9782914,10000,cache\R61_osmnx_city_windows\seoul_south_korea__drive_10000m.pkl,50914,76060,2.9877833208940565,0.4516653899369949,0.675,0.65,0.675,0.22333461006300515,1.0,74.73839851016861,53.01788037895898,0.9968499502111421,0.06782803050223508,0.1,0.9,0.025,6,80,False,66.02641940116882,4.70398473739624,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Taipei,Taiwan,"Taipei, Taiwan",Asia,25.0375198,121.5636796,10000,cache\R61_osmnx_city_windows\taipei_taiwan__drive_10000m.pkl,16388,24900,3.0388088845496704,0.431684610183596,0.6,0.575,0.625,0.16831538981640398,1.0,128.7021925272267,75.8745209754695,0.9774568082808875,0.11365461847389559,0.1,0.9,0.025,6,80,False,43.38471293449402,1.1692380905151367,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Bangkok,Thailand,"Bangkok, Thailand",Asia,13.7524938,100.4935089,10000,cache\R61_osmnx_city_windows\bangkok_thailand__drive_10000m.pkl,63366,71694,2.2628538964113245,0.5689051824695883,0.85,0.85,0.9,0.28109481753041166,1.0,78.24592834380621,49.47971757256563,0.9933200450636754,0.07538985131252267,0.1,0.9,0.025,6,80,False,120.59253168106079,4.46319055557251,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Kuala Lumpur,Malaysia,"Kuala Lumpur, Malaysia",Asia,3.1516964,101.6942371,10000,cache\R61_osmnx_city_windows\kuala_lumpur_malaysia__drive_10000m.pkl,37213,50999,2.74092387069035,0.4969016115517276,0.7,0.675,0.725,0.20309838844827238,1.0,99.82645885236214,64.61157815920433,0.9841540457152068,0.0935312457107002,0.1,0.9,0.025,6,80,False,289.8499081134796,3.382967948913574,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Jakarta,Indonesia,"Jakarta, Indonesia",Asia,-6.1754049,106.827168,10000,cache\R61_osmnx_city_windows\jakarta_indonesia__drive_10000m.pkl,50166,65445,2.609137662958976,0.512325721577254,0.7,0.7,0.725,0.18767427842274598,1.0,80.2066293434449,51.9708385870924,0.9275471687729926,0.14294445717778287,0.1,0.9,0.025,6,80,False,48.073755502700806,4.082395315170288,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Manila,Philippines,"Manila, Philippines",Asia,14.5904492,120.9803621,10000,cache\R61_osmnx_city_windows\manila_philippines__drive_10000m.pkl,25142,36895,2.934929599872723,0.4492979529208324,0.65,0.625,0.65,0.2007020470791676,1.0,97.31229919759778,67.60005993484488,0.9910014927541004,0.07345168722049059,0.1,0.9,0.025,6,80,False,31.221819639205933,2.5451338291168213,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Mumbai,India,"Mumbai, India",Asia,19.054999,72.8692035,10000,cache\R61_osmnx_city_windows\mumbai_india__drive_10000m.pkl,18270,24999,2.7366174055829227,0.4825037154272258,0.725,0.725,0.7256249999999997,0.24249628457277417,1.0,91.12452765161241,58.30593001023726,0.9787548000529401,0.09816392655706228,0.1,0.9,0.025,6,80,False,24.0291109085083,1.3579909801483154,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
Bengaluru,India,"Bengaluru, India",Asia,12.9767936,77.590082,10000,cache\R61_osmnx_city_windows\bengaluru_india__drive_10000m.pkl,101357,136603,2.695482305119528,0.48762404512029706,0.7,0.675,0.7,0.2123759548797029,1.0,59.72514236806745,41.603066718570794,0.8793845245206297,0.14949891290820846,0.1,0.9,0.025,6,80,False,64.91249084472656,7.805903911590576,pass,standardized OSMnx centre-window screen; not a city-boundary replacement
