city,country,macro_region,latitude,longitude,window_radius_m,bbox_area_km2,n_nodes,n_edges,pc_cebh,pc_rank,road_gap,node_density_per_km2,edge_density_per_km2,chord_length_density_km_per_km2,edge_length_mean_m,edge_length_median_m,edge_length_iqr_m,edge_length_cv,short_edge_share_lt40m,long_edge_share_gt150m,orientation_entropy,orientation_dominance,orientation_fourfold_order,orthogonal_alignment_share_10deg,dead_end_share,degree2_share,degree3_share,degree4plus_share,mean_degree,kappa,degree_gini,connected_components,cyclomatic_number,cycle_density,arterial_length_share,collector_length_share,local_length_share,motorway_trunk_length_share,residential_length_share,oneway_length_share,bridge_tunnel_length_share,maxspeed_coverage_share,lanes_coverage_share,edge_circuity_mean,edge_circuity_median,graph_cache_file
Lisbon,Portugal,Europe,38.7077507,-9.1365919,10000,400.0,26686,36745,0.4955161486076462,0.75,0.2544838513923538,66.715,91.8625,7.283798400816158,79.29022616210268,50.09774214527755,68.18401361913405,1.7087578152104208,0.4095795346305619,0.1151993468499115,0.9973324314912948,0.067192815349027,0.0841523643597808,0.2477071710436794,0.1549126883009818,0.0462414749306752,0.6940717979464888,0.1047740388218541,2.7538784381323542,3.018097700367397,0.1418200866149155,1,10060,0.3769766918983737,0.2092820119274249,0.1612789703675397,0.6294390177050173,0.0850502330960836,0.6249169554864256,0.3421441490502626,0.073065716779634,0.1664473416017207,0.3354076863804046,1.0844955187858132,1.000232592296042,cache\R61_osmnx_city_windows\lisbon_portugal__drive_10000m.pkl
Vienna,Austria,Europe,48.2083537,16.3725042,10000,400.0,17629,26142,0.4456985030858935,0.675,0.2293014969141065,44.0725,65.355,7.829686062217999,119.80240321655572,88.10546789211148,92.13191030334264,1.2014675759529367,0.2023946140310611,0.2280621222553745,0.9848721534002748,0.090008415576467,0.1981657897395019,0.2419860760462091,0.1263826649271087,0.0365307164331499,0.5940212150433944,0.2430654035963469,2.9657949968801405,3.243669191339607,0.1492638986368444,1,8514,0.4829542231550287,0.2294219936663823,0.1246240841783529,0.6299290659488502,0.0516751631901422,0.60821235257246,0.3153976440857146,0.0727283989518505,0.9325357282478028,0.4002027432882283,1.030479442968914,1.000063613034949,cache\R61_osmnx_city_windows\vienna_austria__drive_10000m.pkl
Athens,Greece,Europe,37.9755648,23.7348324,10000,400.0,54827,88593,0.4135569642707098,0.625,0.2114430357292901,137.0675,221.4825,15.029776875748103,67.85988453150071,56.29754758936505,47.665457071092405,0.9108197923545924,0.2838598986375898,0.0445746277922634,0.9829915317457362,0.0859887350016367,0.2190578252002746,0.2057498899461582,0.0637277253907746,0.0104510551370675,0.5657613949331534,0.3600598245390045,3.231728892698853,3.418046572528304,0.1139507161540052,1,33767,0.6158826855381473,0.1102636659974126,0.1577792846516618,0.7318705618778558,0.0229661801265865,0.7184973066928241,0.5094316231305609,0.0201729085450029,0.1386799259897036,0.3812931635726967,1.0138160644714995,1.0000000313941162,cache\R61_osmnx_city_windows\athens_greece__drive_10000m.pkl
Istanbul,Turkey,Middle East,41.006381,28.9758715,10000,400.0,48682,72909,0.4613033850047454,0.675,0.2136966149952546,121.705,182.2725,12.741881169265938,69.90566963895232,48.875560166248064,53.41706147141314,1.36275689928241,0.3890054725754022,0.078028775596977,0.999129827160926,0.0666721529577967,0.0312784966151169,0.2453332236075107,0.0792284622653136,0.0174807937225257,0.7372334743847829,0.1660572696273776,2.995316544102543,3.167770782756586,0.1014792830845132,1,24228,0.497678813524506,0.1919179799258234,0.0964959950176326,0.7067180364367637,0.0494340695718815,0.6822834567041379,0.2661609102701207,0.0421991936700258,0.1209261212615519,0.174836305535087,1.036156321523384,1.00000003169653,cache\R61_osmnx_city_windows\istanbul_turkey__drive_10000m.pkl
Dubai,United Arab Emirates,Middle East,25.0742823,55.1885387,10000,400.0,15724,22720,0.4908611675236571,0.725,0.2341388324763428,39.31,56.8,6.60494420132268,116.28422889652606,48.658611014484585,107.18142312416556,1.6527200499130923,0.4496478873239437,0.2167693661971831,0.970867041371218,0.1158890845070422,0.2110674438568342,0.1860035211267605,0.0742177562961078,0.04152887306029,0.8138514372933096,0.0704019333502925,2.889849910964131,3.037235915492958,0.085068823651653,1,6997,0.4449885525311625,0.2698389245021503,0.2857534107103507,0.4444076647874958,0.1194477232192973,0.4448105133610683,0.4933349967536674,0.0582911831322236,0.3295443229516884,0.5680950842645872,1.0613251769606409,1.0007676612355976,cache\R61_osmnx_city_windows\dubai_united_arab_emirates__drive_10000m.pkl
Cairo,Egypt,Africa,30.0443879,31.2357257,10000,400.0,118235,163341,0.4905812814983452,0.7,0.2094187185016547,295.5875,408.3525,22.598623013713294,55.34096892687885,32.45775541666822,39.81010547065655,1.563559625399734,0.5974188966640341,0.0622868722488536,0.9653518722228152,0.0956342865538964,0.3073467013967031,0.3304314287288555,0.1735272973315854,0.0056243921004778,0.7059415570685499,0.1149067534993868,2.762988962659111,3.038398197635621,0.1422140599338113,1,45107,0.3815029390620374,0.0942313419524899,0.0708024815512451,0.8349592461226547,0.031327849793975,0.8352581135686858,0.1425403235509974,0.0316301321590347,0.0196924747076689,0.0229669873902007,1.016757084366811,1.000000031393023,cache\R61_osmnx_city_windows\cairo_egypt__drive_10000m.pkl
Nairobi,Kenya,Africa,-1.2890006,36.8172812,10000,400.0,22960,28157,0.5433092136999518,0.825,0.2816907863000482,57.4,70.3925,7.399841527132525,105.12258446755726,68.10121936271663,86.55723395455101,1.4505987046573472,0.2661505131938771,0.1865965834428383,0.9965259265559292,0.0665198707248641,0.062688379693708,0.2459068792840146,0.293074912891986,0.0195121951219512,0.6293554006968641,0.0580574912891986,2.452700348432056,2.84057250417303,0.1944999287840865,1,5198,0.2263937282229965,0.1384374592089486,0.132094349805425,0.7294681909856318,0.041204334902098,0.7280289659576105,0.1014249557148391,0.0346768297081664,0.1574818598570975,0.1070243987014721,1.0577283393177983,1.000080958463105,cache\R61_osmnx_city_windows\nairobi_kenya__drive_10000m.pkl
Accra,Ghana,Africa,5.5571096,-0.2012376,10000,400.0,19183,25655,0.5030786728370853,0.725,0.2219213271629146,47.9575,64.1375,7.146626151527572,111.42664044478772,81.61373801407125,86.96379299238275,1.0589216464588824,0.1780549600467745,0.2206197622295848,0.9896426722767344,0.0857142857142857,0.149491719988912,0.2930033131943091,0.2051816712714382,0.0166814366887348,0.6781004013970703,0.1000364906427566,2.6747641140593235,2.9877606704346134,0.1598349627701873,1,6473,0.3374341865193139,0.083677051023131,0.1310707922310356,0.7850793032192288,0.0230845216942427,0.7859305929356541,0.0757751522311259,0.0157690479788559,0.71816133234803,0.0880655544623633,1.0335790983109885,1.0000197378015252,cache\R61_osmnx_city_windows\accra_ghana__drive_10000m.pkl
Johannesburg,South Africa,Africa,-26.205,28.049722,10000,400.0,22312,32632,0.454250595097234,0.65,0.195749404902766,55.78,81.58,9.743187600349367,119.43108115162256,80.64576635640923,113.92008760008684,1.3004983905486407,0.2701642559450846,0.2494177494483942,0.9805910999329076,0.1029357685707281,0.221366490217423,0.3311473400343221,0.1390731444962352,0.02559160989602,0.6079688060236644,0.2273664395840803,2.9250627465041235,3.2014280460897275,0.1485047496859928,1,10321,0.4625761921835783,0.1776036975907952,0.1276333891723072,0.6900209345961976,0.0529090567094342,0.6873199340959498,0.1774767892029057,0.0431647579266548,0.2012375985004153,0.7178125667098201,1.0421150544472249,1.000000712411612,cache\R61_osmnx_city_windows\johannesburg_south_africa__drive_10000m.pkl
Casablanca,Morocco,Africa,33.5945144,-7.6200284,10000,400.0,36942,55764,0.4598827284198025,0.675,0.2151172715801975,92.355,139.41,9.46338382984203,67.88167154323241,46.76421534053768,55.15061123615567,1.3870344504896426,0.4235169643497597,0.0742414460942543,0.944477402514563,0.1459902446022523,0.3364955042520848,0.1570726633670468,0.0684045260137512,0.0177846353743706,0.7424070164040929,0.1714038222077852,3.019002761084944,3.174467398321498,0.0949647911777256,1,18823,0.509528450002707,0.1136892423161975,0.1088004659985056,0.7736207783444052,0.0281956493865732,0.7581811779857383,0.2062648680130036,0.01461853296925,0.0885594946591337,0.7056891922422459,1.0344421283522696,1.0000000313931845,cache\R61_osmnx_city_windows\casablanca_morocco__drive_10000m.pkl
Mexico City,Mexico,Latin America,19.4326296,-99.1331785,10000,400.0,59012,90635,0.4265999557561695,0.625,0.1984000442438305,147.53,226.5875,19.559875037317664,86.32371616844557,61.15384249740738,74.08068356573276,1.1075411203219518,0.2666740221768632,0.1427263198543609,0.9126168741449048,0.1295636343575881,0.4803989891164503,0.291840900314448,0.119162204297431,0.0177082627262251,0.5438724327255473,0.3192571002507964,3.0717481190266387,3.3441165112815137,0.146138514198632,1,31624,0.5358910052192775,0.1680167654394829,0.1141825215264884,0.7074699779048127,0.0370121547405856,0.6983289176115327,0.3559064209203113,0.0326116484001661,0.1645856192247991,0.3626709374276529,1.0381147915786355,1.000000031393817,cache\R61_osmnx_city_windows\mexico_city_mexico__drive_10000m.pkl
Bogota,Colombia,Latin America,4.6533817,-74.0836331,10000,400.0,40772,60476,0.4493951193413192,0.65,0.2006048806586807,101.93,151.19,12.151689400680374,80.37363185845871,60.849247942083466,64.39539179674838,1.0025045670619896,0.2875024803227726,0.1024869369667306,0.9679684786572128,0.0976089688471459,0.2828003889919456,0.1556154507573252,0.1272932404591386,0.014765034827823,0.6259688021191013,0.231972922593937,2.966545668596096,3.225213307758449,0.1399070026665136,1,19705,0.4832973609339743,0.156139957136102,0.1681054035784868,0.6757546392854173,0.033260635682552,0.6767437934778436,0.2730402453136942,0.0190681782549221,0.2714118349096548,0.6349912287456859,1.0364764163496556,1.000000031408934,cache\R61_osmnx_city_windows\bogota_colombia__drive_10000m.pkl
Lima,Peru,Latin America,-12.0459808,-77.0305912,10000,400.0,49410,75796,0.4428345242198864,0.65,0.2071654757801135,123.525,189.49,15.088887986715356,79.62894077109799,58.25183281055084,66.31658075831464,1.011649536815699,0.2632856615124809,0.1072879835347511,0.983948613050614,0.0991872922053934,0.1092978196668028,0.3033405456752335,0.0817041084800647,0.0107670512042096,0.6690143695608176,0.2385144707549079,3.068042906294272,3.258179851179482,0.1122104720337697,1,26387,0.5340416919651892,0.1711097246187009,0.1111818752738665,0.7146393018872815,0.0279932232899406,0.7055120272086906,0.2921101793125177,0.0116131952818983,0.3891719045593728,0.3247826946281496,1.0218109545481666,1.000000031406356,cache\R61_osmnx_city_windows\lima_peru__drive_10000m.pkl
