lambda,2D,junction
0.0,0.2839684506882521,0.0
0.01,0.2840199034638791,0.0024860723646413013
0.02,0.2840713562395062,0.004972144729282603
0.03,0.2841228090151332,0.007458217093923903
0.04,0.2841742617907603,0.009944289458565205
0.05,0.2842257145663873,0.012430361823206506
0.06,0.28427716734201436,0.014916434187847806
0.07,0.2843286201176414,0.017402506552489108
0.08,0.2843800728932684,0.01988857891713041
0.09,0.28443152566889546,0.02237465128177171
0.1,0.28448297844452247,0.02486072364641301
0.11,0.28453443122014954,0.027346796011054313
0.12,0.28458588399577656,0.029832868375695612
0.13,0.2846373367714036,0.032318940740336914
0.14,0.28468878954703064,0.034805013104978216
0.15,0.28474024232265766,0.03729108546961951
0.16,0.2847916950982847,0.03977715783426082
0.17,0.28484314787391174,0.04226323019890212
0.18,0.2848946006495388,0.04474930256354342
0.19,0.2849460534251658,0.04723537492818472
0.2,0.28499750620079284,0.04972144729282602
0.21,0.2850489589764199,0.05220751965746732
0.22,0.2851004117520469,0.05469359202210863
0.23,0.285151864527674,0.05717966438674993
0.24,0.285203317303301,0.059665736751391224
0.25,0.2852547700789281,0.062151809116032526
0.26,0.2853062228545551,0.06463788148067383
0.27,0.2853576756301821,0.06712395384531514
0.28,0.2854091284058092,0.06961002620995643
0.29,0.2854605811814362,0.07209609857459773
0.3,0.28551203395706326,0.07458217093923902
0.31,0.2855634867326903,0.07706824330388033
0.32,0.28561493950831734,0.07955431566852164
0.33,0.28566639228394436,0.08204038803316294
0.34,0.2857178450595714,0.08452646039780425
0.35000000000000003,0.28576929783519844,0.08701253276244554
0.36,0.28582075061082546,0.08949860512708684
0.37,0.28587220338645253,0.09198467749172813
0.38,0.28592365616207954,0.09447074985636944
0.39,0.2859751089377066,0.09695682222101075
0.4,0.2860265617133336,0.09944289458565204
0.41000000000000003,0.28607801448896064,0.10192896695029335
0.42,0.2861294672645877,0.10441503931493464
0.43,0.2861809200402147,0.10690111167957594
0.44,0.2862323728158418,0.10938718404421725
0.45,0.2862838255914688,0.11187325640885855
0.46,0.2863352783670959,0.11435932877349986
0.47000000000000003,0.2863867311427229,0.11684540113814115
0.48,0.2864381839183499,0.11933147350278245
