claim,supporting_source_data_files,manuscript_location
Observed eight-city CEBH road gap and sign pattern,R41_degree_preserving_nulls_city_summary.csv; R41_degree_preserving_nulls_summary.json,Main text Results 2.1
Degree-preserving nulls leave a small residual component,R41_degree_preserving_nulls_city_summary.csv; R41_degree_preserving_nulls_replicates.csv,Main text Results 2.2
Spatial-scale nulls explain an intermediate edge-scale component,R56_spatial_length_constrained_nulls_city_summary.csv; R56_spatial_length_constrained_nulls_replicates.csv,Main text Results 2.2
71 standardized city windows show a positive CEBH gap,R61_central_window_screen_results.csv,Main text Results 2.3
71-city spatial-scale null leaves a 0.0965 mean residual and explains 55.7%,R64_spatial_null_screen_summary.csv; R64_R64_summary.json,Main text Results 2.3/2.5
Urban-form covariates carry mechanism signal,R62_geometry_null_pilot_replicates.csv; R62_geometry_null_pilot_summary.csv; R62_urban_form_correlations.csv; R62_urban_form_covariates.csv; R62_urban_form_model_summary.json; R62_urban_form_pca_scores.csv,Main text Results 2.4
High-order embedded metrics support mechanism layer,R63_high_order_embedded_metrics.csv; R63_integrated_high_order_external_covariates.csv,Main text Results 2.4
GHSL/WDI controls do not explain away road-form signal,R65_R65_integrated_public_covariates.csv; R65_R65_model_comparison.csv; R65_ghsl_match_qc.csv,Main text Results 2.4
R67 multi-replicate geometry null collapses residual on stratified subset,R67_geometry_null_sensitivity_city_summary.csv; R67_geometry_null_sensitivity_fraction_summary.csv; R67_geometry_null_sensitivity_replicates.csv,Main text Results 2.5
R68 full 71-city low-intensity geometry null residual is near zero,R68_full71_geometry_null_city_summary.csv; R68_full71_geometry_null_macro_region_summary.csv; R68_R68_summary.json,Main text Results 2.5
R72 matched-intensity defense weakens low-perturbation objection,R72_matched_intensity_summary.csv; R72_matched_intensity_geometry_vs_spatial_city.csv; R72_geometry_null_mobility_summary.csv,Main text Results 2.5 and Fig. 4
Eight-city threshold estimator sensitivity supports the reported road-gap sign and scale,R39_threshold_sensitivity_source_data.csv; R39_threshold_curves_source_data.csv; R39_threshold_sensitivity.json,Main text Results 2.1 and Supplementary Note 3
Nested and leave-region-out validation supports embedded street form as the stronger mechanism signal,R73_nested_model_summary.csv; R73_nested_model_predictions.csv; R73_leave_region_out_region_summary.csv; R73_R73_summary.json,Main text Results 2.4 and Supplementary Note 5
