figure,panel_or_content,source_data_files,notes
Fig. 1,"lead mechanism: null-ladder residual collapse, planarity-dial Fisher exponent, and co-movement of effective dimension with tau_F",tables/R41_degree_preserving_nulls_city_summary.csv; tables/R56_spatial_length_constrained_nulls_city_summary.csv; tables/R100_geometry_null_contrast_source_data.csv; tables/R107_planarity_dial.csv; tables/R108_dial_effective_dimension.csv; tables/R125_fig1_mechanism_control_source_data.csv,"Lead mechanism figure; deterministic synthesis from registered source data, no recalculated thresholds; exponent read-outs are finite-size-limited."
Fig. 2,"effective-dimension law, road/power dimension contrast, and planarity-dial co-movement of d with tau_F",tables/R108_road_effective_dimension.csv; tables/R108_dial_effective_dimension.csv; tables/R108_summary.json; tables/R106_power_grid_percolation.csv,"R125/R126 Fig. 2; derived effective-dimension law p_c=2/<k>, threshold-read dimension, and independent finite-size critical-class check."
Fig. 3,"planar-lattice anchor: estimator calibration, vertex-split interpolation, 71-city zero-parameter prediction and error comparison",tables/R103_city_lattice_anchor.csv; tables/R103_vertex_split_interpolation.csv; tables/R103_summary.json,Zero-parameter honeycomb/square anchor; lattice thresholds exact; no fitted parameter.
Fig. 4,"eight-city road, degree-null and spatial-null decomposition",tables/R41_degree_preserving_nulls_city_summary.csv; tables/R56_spatial_length_constrained_nulls_city_summary.csv,Eight-city formal multi-replicate null ladder.
Fig. 5,71-city window screen and urban-form associations,tables/R61_central_window_screen_results.csv; tables/R62_urban_form_covariates.csv; tables/R62_urban_form_correlations.csv; tables/R62_urban_form_pca_scores.csv; tables/R62_geometry_null_pilot_summary.csv; tables/R62_geometry_null_pilot_replicates.csv; tables/R63_high_order_embedded_metrics.csv,Geographic scale screen, embedded road-form association signal and 21-city geometry-null subset coverage.
Fig. 6,"nested validation, public controls, high-order metrics and leave-region-out checks",figures/Fig4_combined_nested_public_source_data.csv; figures/Fig4_nested_validation_source_data.csv; tables/R73_nested_model_ladder_summary.csv; tables/R73_leave_region_out_predictions.csv; tables/R65_R65_model_comparison.csv; tables/R63_high_order_external_correlations.csv,Urban-form validation figure; claim boundaries are stated in the caption.
Fig. 7,"full-city strict-geometry coverage, matched-intensity residual reduction, fine-grid regeneration and low-overlap audit",tables/R100_geometry_null_contrast_source_data.csv; tables/R68_full71_geometry_null_city_summary.csv; tables/R81_full71_high_intensity_geometry_null_city_summary.csv; tables/R72_matched_intensity_geometry_vs_spatial_city.csv; tables/R80_geometry_null_city_distance_audit.csv; tables/R90_finegrid_null_thresholds.csv; tables/N99_low_overlap_surrogate_records.csv,"R100 geometry-null contrast after R125 figure-sequence update; strict geometry-null coverage, matched contrast, fine-grid diagnostics and 12-city low-overlap audit."
Fig. 8,"planarity dial, cross-domain finite-size exponent contrast, and main-figure threshold-transfer test on power grids",tables/R107_planarity_dial.csv; tables/R107_summary.json; tables/R106_power_grid_percolation.csv; tables/R105_fisher_exponents.csv,Controlled planarity experiment on road graphs plus R105 road and R106 power Fisher exponents and power-grid threshold-transfer evidence; water and rail threshold-transfer tests are mapped to Supplementary Figs. S12-S13.
Supplementary Fig. S1,geometry-null distance audit,tables/R80_geometry_null_fraction_distance_audit.csv; tables/R80_geometry_null_metric_distance_audit.csv; tables/R80_geometry_null_city_distance_audit.csv,"Archived replicate metrics, not exact edge-overlap reconstruction."
Supplementary Fig. S2,R81 full 71-city high-intensity geometry ensemble,tables/R81_full71_high_intensity_geometry_null_city_summary.csv; tables/R81_full71_high_intensity_geometry_null_macro_region_summary.csv; tables/R81_full71_high_intensity_geometry_null_replicates.csv,426 passing high-intensity strict-geometry records.
Supplementary Fig. S3,R90 fine-grid and exact edge-overlap audit,tables/R90_finegrid_null_thresholds.csv; tables/R90_edge_overlap_audit.csv; tables/R90_spatial_geometry_pair_summary.csv,21-city regenerated matched nulls.
Supplementary Fig. S4,R95 non-backtracking spectral audit,tables/N95_nonbacktracking_thresholds.csv; tables/N95_cebh_nb_geometry_decomposition.csv; tables/N95_nb_spectrum_localization_metrics.csv,71-city negative graph-spectral control.
Supplementary Fig. S5,N99 compact transfer-error correction and permutation audit,tables/N99_prediction_city_predictions.csv; tables/N99_prediction_model_comparison.csv; tables/N99_prediction_feature_coefficients.csv; tables/N99_prediction_region_holdout.csv; tables/N99_prediction_permutation_baseline.csv; tables/N99_prediction_coefficient_stability.csv,"Descriptive cross-validated empirical correction, not a causal law."
Supplementary Fig. S6,N99 12-city low-overlap strict-geometry surrogate audit,tables/N99_low_overlap_surrogate_records.csv; tables/N99_low_overlap_surrogate_city_summary.csv,Twelve-city audit under the implemented strict local-swap chain; not a 71-city mixing proof.
Supplementary Fig. S7,finite-size critical-class read-out: cluster-size-distribution (Fisher) exponent vs 2D and mean-field,tables/R105_fisher_exponents.csv; tables/R105_summary.json,"Square-lattice calibration, five largest road windows, mean-field configuration-model control; supporting evidence rather than a high-precision universality proof."
Supplementary Fig. S8,street-form bottleneck quartile stress test and city-level association,tables/R123_street_form_subgroup_city_scores.csv; tables/R123_street_form_subgroup_quartiles.csv; tables/R123_street_form_subgroup_correlations.csv; tables/R123_summary.json,Post-R120 acceptance-sprint stress test using only already-registered 71-city source-data variables.
Supplementary Fig. S9,second-domain power-grid replication: CEBH vs junction-anchor error and Fisher-exponent gradient,tables/R106_power_grid_percolation.csv; tables/R106_summary.json,"Three PEGASE European grids (pandapower/MATPOWER, BSD); raw grids not redistributed."
Supplementary Fig. S10,resilience-screening consequence: CEBH overstates tolerable random-failure fraction in 81 road and power networks; derived law recovers the level,tables/R109_resilience_population.csv; tables/R109_summary.json,Robustness screening on 71 roads + 10 power grids; ranking preserved by CEBH reported honestly.
Supplementary Fig. S11,two independent routes to the effective dimension: threshold-route d_R versus exponent-route d_tau,tables/R110_real_network_consistency.csv; tables/R110_calibration_dial.csv; tables/R110_summary.json,"Isotonic tau_F-to-d calibration on the planarity dial and held-out road/power consistency check; domain-sensitive at high dimension."
Supplementary Fig. S12,held-out forward prediction on an unseen water-network domain,tables/R111_water_percolation.csv; tables/R111_summary.json,"Water-distribution threshold-transfer test; reports threshold law only, not a certified two-dimensional universality class."
Supplementary Fig. S13,held-out forward prediction on an unseen rail-network domain and four-domain effective-dimension summary,tables/R112_rail_percolation.csv; tables/R112_summary.json,"Rail threshold-transfer test; reports finite-size and loop-sparsity limits."
